X[Hz],50V,100V,200V,Background
20.625,1.428116e-05,4.935792e-06,4.415343e-06,2.0223430000000003e-08
20.75,1.293702e-05,5.2692750000000005e-06,3.710239e-06,2.0403860000000004e-08
20.875,1.3518820000000001e-05,4.9460070000000006e-06,4.117168e-06,2.013455e-08
21.0,1.7830539999999998e-05,4.9091399999999996e-06,3.9895920000000005e-06,1.579853e-08
21.125,1.383684e-05,4.609499e-06,4.066572e-06,1.821256e-08
21.25,1.496e-05,4.3651049999999994e-06,3.87909e-06,2.046256e-08
21.375,1.608162e-05,4.4859210000000005e-06,4.750392e-06,2.109065e-08
21.5,1.71281e-05,5.883402e-06,3.876959e-06,1.7570689999999996e-08
21.625,1.441817e-05,4.92898e-06,4.119466e-06,1.634869e-08
21.75,2.040493e-05,4.757447000000001e-06,3.819955e-06,2.3886759999999997e-08
21.875,1.630145e-05,5.391794e-06,4.719433e-06,1.6406919999999997e-08
22.0,1.6593029999999997e-05,4.438626e-06,3.882093e-06,1.9071419999999997e-08
22.125,1.537241e-05,4.455698e-06,4.774306e-06,2.1675749999999998e-08
22.25,1.718077e-05,4.149019e-06,3.859384e-06,1.88372e-08
22.375,1.4676629999999998e-05,4.25664e-06,3.655683e-06,1.703151e-08
22.5,1.3383810000000001e-05,5.195137e-06,4.598672000000001e-06,2.243928e-08
22.625,1.647515e-05,5.103491e-06,4.877250000000001e-06,2.0668199999999998e-08
22.75,1.469172e-05,4.310565e-06,3.8408589999999994e-06,1.6670060000000002e-08
22.875,1.1763250000000001e-05,4.625581e-06,4.581421000000001e-06,1.8564900000000002e-08
23.0,1.603731e-05,5.0853039999999995e-06,3.6312700000000003e-06,1.5738540000000002e-08
23.125,1.56579e-05,4.816061e-06,3.5699650000000002e-06,1.7775830000000002e-08
23.25,1.678534e-05,3.752269e-06,3.939376e-06,1.526866e-08
23.375,1.3583910000000001e-05,4.951818e-06,4.406051e-06,1.6470599999999997e-08
