---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: LG278C
Date: 5/18/2016
Time: 5:22 PM
Start Frequency (Hz): 10
Stop Frequency (Hz): 40000000
Number of Points: 1601
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): -10
Receiver Bandwidth (Hz): 300
Reference Signal: SourceVoltage
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 10
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB),TR1 (Without piezo): Gain (Real),TR1 (Without piezo): Gain (Imag),TR1 (Without piezo): Gain (dB),TR1 (With piezo): Gain (Real),TR1 (With piezo): Gain (Imag),TR1 (With piezo): Gain (dB),TR1 (1u cap): Gain (Real),TR1 (1u cap): Gain (Imag),TR1 (1u cap): Gain (dB),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain Unwrapped (Degree),TR2 (1u cap): Gain (Real),TR2 (1u cap): Gain (Imag),TR2 (1u cap): Gain Unwrapped (Degree)
14.3482496595567,0.990970134871948,0.0300379408554808,-0.0748002261692727,0.990792905587124,0.0299123049251094,-0.0763856508774396,0.990861173986218,0.0300715001893744,-0.0757455331366539,0.990970134871948,0.0300379408554808,-0.0748002261692727,0.990970134871948,0.0300379408554808,1.73619806380924,0.990970134871948,0.0300379408554808,1.73619806380924
14.4852238916736,0.990966610558796,0.0297325855552438,-0.0749117311044642,0.990742131762453,0.0296676589679148,-0.07689480403925,0.990873863646429,0.0298197252681216,-0.0757010373755385,0.990966610558796,0.0297325855552438,-0.0749117311044642,0.990966610558796,0.0297325855552438,1.71856522234948,0.990966610558796,0.0297325855552438,1.71856522234948
14.6235057355696,0.991167962368228,0.0296390899409653,-0.0731731521468275,0.991068802910903,0.0296371612159993,-0.0740418870379371,0.990890853047896,0.029484187929818,-0.0756401824998274,0.991167962368228,0.0296390899409653,-0.0731731521468275,0.991167962368228,0.0296390899409653,1.71281651767131,0.991167962368228,0.0296390899409653,1.71281651767131
14.7631076742391,0.991109913199311,0.0291923900264913,-0.0737975011582094,0.991242170174249,0.0291741083828757,-0.0726442214564423,0.990970050191328,0.0290545923135161,-0.0750577217837004,0.991109913199311,0.0291923900264913,-0.0737975011582094,0.991109913199311,0.0291923900264913,1.68711591139208,0.991109913199311,0.0291923900264913,1.68711591139208
14.904042309844,0.991180556324212,0.0290532858158089,-0.0732147431141048,0.991226972712768,0.0287896808617216,-0.0728756867355026,0.991007480560562,0.0288643179923564,-0.0747786234576193,0.991180556324212,0.0290532858158089,-0.0732147431141048,0.991180556324212,0.0290532858158089,1.67896167173601,0.991180556324212,0.0290532858158089,1.67896167173601
15.046322364852,0.991163485198424,0.0285952688170143,-0.0734808395806303,0.991218570359889,0.0286884297399689,-0.0729749557796663,0.991112766012524,0.0286954166500365,-0.0738996045775356,0.991163485198424,0.0285952688170143,-0.0734808395806303,0.991163485198424,0.0285952688170143,1.65253654555264,0.991163485198424,0.0285952688170143,1.65253654555264
15.1899606831842,0.991091872252325,0.0284812156690318,-0.0741366660980184,0.995344792501389,0.0285998712722851,-0.036944877668889,0.991337087703541,0.0282638016500397,-0.072044121615343,0.991091872252325,0.0284812156690318,-0.0741366660980184,0.991091872252325,0.0284812156690318,1.64606784867543,0.991091872252325,0.0284812156690318,1.64606784867543
15.3349702313753,0.991279930319662,0.028227165358497,-0.0725536700431658,0.991338885101234,0.0280755457635374,-0.0720752187677876,0.991199714087252,0.0282082127079734,-0.0732607316724857,0.991279930319662,0.028227165358497,-0.0725536700431658,0.991279930319662,0.028227165358497,1.63108368868548,0.991279930319662,0.028227165358497,1.63108368868548
15.4813640997438,0.991247569899855,0.0279775321026542,-0.0728989615117399,0.991249145337554,0.0277387506470293,-0.0729439244554883,0.991271822601985,0.0278536321120087,-0.0727171663221998,0.991247569899855,0.0279775321026542,-0.0728989615117399,0.991247569899855,0.0279775321026542,1.61671927402714,0.991247569899855,0.0279775321026542,1.61671927402714
15.6291555035735,0.991415086626163,0.0276282046337934,-0.0715181342281209,0.991375615630008,0.027449385686007,-0.0719071693989937,0.991130565431416,0.027692841204278,-0.0739934800799521,0.991415086626163,0.0276282046337934,-0.0715181342281209,0.991415086626163,0.0276282046337934,1.5962738065205,0.991415086626163,0.0276282046337934,1.5962738065205
15.7783577843069,0.991294359290565,0.0273241192531689,-0.0726488773589516,0.991403243149311,0.0274429082438225,-0.0716668708914234,0.991171871882885,0.0274378247740906,-0.0736938789422697,0.991294359290565,0.0273241192531689,-0.0726488773589516,0.991294359290565,0.0273241192531689,1.57890578708678,0.991294359290565,0.0273241192531689,1.57890578708678
15.9289844107493,0.99130984386409,0.0270326880054482,-0.0725832596395453,0.991343464162084,0.0270895979533265,-0.0722753001715351,0.991216412993235,0.0270835194267788,-0.0733891839946643,0.99130984386409,0.0270326880054482,-0.0725832596395453,0.99130984386409,0.0270326880054482,1.56204962959222,0.99130984386409,0.0270326880054482,1.56204962959222
16.0810489802845,0.991247477676254,0.0269065650696929,-0.0731593720981089,0.991680078380756,0.0269925115848469,-0.0693518456696461,0.991401970801562,0.0268051239219519,-0.0718307724553608,0.991247477676254,0.0269065650696929,-0.0731593720981089,0.991247477676254,0.0269065650696929,1.55486313394055,0.991247477676254,0.0269065650696929,1.55486313394055
16.2345652201028,0.991456801453396,0.0265080078750468,-0.0714206864535425,0.991358959268361,0.0263377862424369,-0.0723170084928318,0.991414084487941,0.0264630056756483,-0.0718051845053254,0.991456801453396,0.0265080078750468,-0.0714206864535425,0.991456801453396,0.0265080078750468,1.53151930612674,0.991456801453396,0.0265080078750468,1.53151930612674
16.3895469884396,0.991547529484877,0.0263642144127486,-0.0706600058278951,0.991694184101732,0.0263664074291937,-0.0693758133412453,0.991519734867664,0.0263496473606164,-0.0709067059769241,0.991547529484877,0.0263642144127486,-0.0706600058278951,0.991547529484877,0.0263642144127486,1.5230761487557,0.991547529484877,0.0263642144127486,1.5230761487557
16.5460082758268,0.991514673367784,0.0259811464751713,-0.0710361438304423,0.991515053826108,0.0259780483311602,-0.0710335238614611,0.991409625756025,0.0262064631573318,-0.0719038811585533,0.991514673367784,0.0259811464751713,-0.0710361438304423,0.991514673367784,0.0259811464751713,1.50100600181521,0.991514673367784,0.0259811464751713,1.50100600181521
16.7039632063553,0.991483545201047,0.0256731109198512,-0.0713788973342969,0.991502874628957,0.0260714023140371,-0.0711186928312582,0.991572463784178,0.026329352886949,-0.070449848451508,0.991483545201047,0.0256731109198512,-0.0713788973342969,0.991483545201047,0.0256731109198512,1.48326443935543,0.991483545201047,0.0256731109198512,1.48326443935543
